i		j		T
19		24		1.057372
19		25		0.901552
19		26		0.768184
19		27		0.653940
19		28		0.555976
19		29		0.471860
19		30		0.399500
19		31		0.337100
19		32		0.283111
19		33		0.236191
19		34		0.195172
19		35		0.159034
19		36		0.126873
19		37		0.097887
19		38		0.071352
19		39		0.046601
19		40		0.023014
19		41		0.000000
20		1		100.000000
20		2		49.737160
20		3		29.713636
20		4		20.168488
20		5		14.842579
20		6		11.485161
20		7		9.173634
20		8		7.480387
20		9		6.184850
20		10		5.162598
20		11		4.338049
20		12		3.662364
20		13		3.102296
20		14		2.634183
20		15		2.240549
20		16		1.908072
20		17		1.626334
20		18		1.387019
20		19		1.183377
20		20		1.009858
20		21		0.861855
20		22		0.735513
20		23		0.627589
20		24		0.535341
20		25		0.456443
20		26		0.388916
20		27		0.331075
20		28		0.281477
20		29		0.238891
20		30		0.202257
20		31		0.170667
20		32		0.143334
20		33		0.119580
20		34		0.098813
20		35		0.080517
20		36		0.064234
20		37		0.049560
20		38		0.036125
20		39		0.023594
20		40		0.011652
20		41		0.000000
21		1		100.000000
21		2		0.000000
21		3		0.000000
21		4		0.000000
21		5		0.000000
21		6		0.000000
21		7		0.000000
21		8		0.000000
21		9		0.000000
21		10		0.000000
21		11		0.000000
21		12		0.000000
21		13		0.000000
21		14		0.000000
21		15		0.000000
21		16		0.000000
21		17		0.000000
21		18		0.000000
21		19		0.000000
21		20		0.000000
21		21		0.000000
21		22		0.000000
21		23		0.000000
21		24		0.000000
21		25		0.000000
21		26		0.000000
21		27		0.000000
21		28		0.000000
21		29		0.000000
21		30		0.000000
21		31		0.000000
21		32		0.000000
21		33		0.000000
21		34		0.000000
21		35		0.000000
21		36		0.000000
21		37		0.000000
21		38		0.000000
21		39		0.000000
21		40		0.000000
21		41		0.000000
